CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
05TAC6,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste cliniq soins palliatifs,Soins,Coordination en santé,33
05TAC7,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste éducation thérapeutique,Soins,Coordination en santé,101
05TAD0,05,6,05T,N,2024,Qtr 4,novembre,6,Coordinateur de filières en santé,Soins,Coordination en santé,9
05TAE0,05,6,05T,N,2024,Qtr 4,novembre,6,Directeur opérationnel de blocs op,Soins,Coordination en santé,2
05U100,05,6,05U,O,2024,Qtr 4,novembre,6,Cadre paramédical de DMU,Soins,Management des organisations soins,245
05U200,05,6,05U,O,2024,Qtr 4,novembre,6,Cadre unité soins activités paraméd,Soins,Management des organisations soins,3363
05U201,05,6,05U,O,2024,Qtr 4,novembre,6,Cadre d unité soins chargé missions,Soins,Management des organisations soins,194
05UAA0,05,6,05U,O,2024,Qtr 4,novembre,6,Cadre resp secteurs soins paraméd,Soins,Management des organisations soins,601
05UAA1,05,6,05U,O,2024,Qtr 4,novembre,6,Cadre secteurs soins chargé mission,Soins,Management des organisations soins,186
05X100,05,6,05X,O,2024,Qtr 4,novembre,6,Formateur des professionnels santé,Soins,Formation et ingénierie formation aux soins,89
05X101,05,6,05X,O,2024,Qtr 4,novembre,6,Formateur prof santé forma continu,Soins,Formation et ingénierie formation aux soins,50
05X102,05,6,05X,O,2024,Qtr 4,novembre,6,Formateur prof santé forma initiale,Soins,Formation et ingénierie formation aux soins,799
05Z100,05,6,05Z,N,2024,Qtr 4,novembre,6,Audioprothésiste,Soins,Appareillage de personnes,38
05Z101,05,6,05Z,N,2024,Qtr 4,décembre,20,Régleur en implants cochléaires,Soins,Appareillage de personnes,0
05Z200,05,6,05Z,N,2024,Qtr 4,décembre,20,Epithésiste,Soins,Appareillage de personnes,0
05Z300,05,6,05Z,N,2024,Qtr 4,décembre,20,Oculariste,Soins,Appareillage de personnes,0
